,Name,LTP,P/E,Debt to Equity,EPS(Rs.),BVPS(Rs.),Net Profit(Rs. Cr),DPS(Rs.),NPM%,ROE%
0,Aarti Ind,959.0,21.93,0.71,30.04,201.71,535.0,3.0,11.87,14.94
1,Abbott India,18997.7,46.1,0.0,325.04,1224.55,690.0,275.0,16.02,26.54
2,ACC,2262.2,0.0,0.01,76.16,675.69,1421.0,14.0,10.3,11.26
3,Adani Enterpris,1708.1,122.9,0.89,8.39,171.94,746.0,1.0,1.88,5.37
4,Adani Green Ene,1389.65,1624.78,27.22,0.68,5.03,176.0,0.0,5.63,24.39
5,Adani Ports,737.45,28.58,1.09,24.58,157.16,5063.0,5.0,40.34,16.39
6,Adani Total Gas,1592.75,228.33,0.22,4.21,17.58,471.0,0.25,27.83,23.93
7,Adani Trans,1868.3,100.71,4.23,9.02,65.4,1289.0,0.0,12.99,20.1
8,AB Capital,116.5,25.55,3.83,4.67,63.04,837.0,0.0,4.34,8.19
9,Aditya Birla F,264.5,-24.45,0.31,-8.23,29.25,-735.0,0.0,-14.01,-25.43
10,Ajanta Pharma,2117.0,23.86,0.0,75.09,344.52,653.0,9.5,22.62,21.82
11,Alembic Pharma,807.8,15.87,0.04,60.81,257.8,1114.0,0.0,20.67,22.97
12,Alkem Lab,3438.8,20.89,0.23,132.57,632.2,1617.0,30.0,18.24,21.48
13,Amara Raja Batt,631.65,22.55,0.01,37.87,246.49,646.0,11.0,9.04,15.36
14,Ambuja Cements,376.6,0.0,0.0,11.91,146.54,3092.0,18.0,12.61,10.39
15,Apollo Hospital,5432.4,270.27,0.54,10.74,333.96,136.0,3.0,1.28,3.26
16,Apollo Tyres,210.0,39.38,0.45,5.68,180.18,350.0,0.0,2.01,3.06
17,Ashok Leyland,120.65,-106.07,0.53,-1.07,23.77,-313.0,0.0,-2.05,-4.49
18,Asian Paints,3110.45,77.53,0.03,32.73,137.92,3178.0,17.85,14.63,24.51
19,AU Small Financ,1136.35,32.15,0.0,38.19,200.99,1171.0,0.0,23.64,18.65
20,Aurobindo Pharm,674.15,9.68,0.23,91.05,374.28,5389.0,4.0,21.75,24.32
21,Avenue Supermar,4799.05,168.48,0.0,16.97,188.09,1099.0,0.0,4.55,9.02
22,Axis Bank,673.0,28.83,0.0,24.19,338.13,7252.0,0.0,11.2,6.94
23,Bajaj Auto,3287.85,21.86,0.0,167.9,942.51,4550.0,140.0,16.4,17.8
