,bsecode,close,name,nsecode,per_chg,sr,volume
17,532605,1466.6,Jbm Auto Limited,JBMA,11.44,18.0,3182452.0
6,543276,4542.6,Craftsman Automation Ltd,CRAFTSMAN,9.99,7.0,375604.0
27,535648,833.35,Just Dial Limited,JUSTDIAL,7.61,28.0,2729455.0
41,540065,211.6,Rbl Bank Limited,RBLBANK,6.95,42.0,35393674.0
23,500040,951.2,Century Textiles & Industries Limited,CENTURYTEX,6.05,24.0,1180621.0
46,532234,89.3,National Aluminium Company Limited,NATIONALUM,5.62,47.0,29185342.0
39,532400,379.7,Birlasoft Ltd,BSOFT,4.92,40.0,7264128.0
26,540595,858.85,Tejas Networks,TEJASNET,4.72,27.0,6059492.0
7,532466,4021.5,Oracle Financial Services Software Limited,OFSS,4.62,8.0,256422.0
25,543427,870.3,Medplus Health Services Ltd,MEDPLUS,4.6,26.0,528301.0
19,532755,1228.65,Tech Mahindra Limited,TECHM,4.54,20.0,6033106.0
37,504067,426.55,Zensar Technologies Limited,ZENSARTECH,4.53,38.0,4747720.0
43,500294,137.15,Ncc Limited,NCC,4.38,44.0,10082102.0
13,543307,1922.4,Krishna Institute of Medical Sciences Ltd,KIMS,4.29,14.0,595836.0
4,532541,4925.8,Coforge (Niit Tech),COFORGE,3.58,5.0,653920.0
29,500620,788.75,The Great Eastern Shipping Company Limited,GESHIP,3.35,30.0,1599006.0
20,543524,1097.15,Rainbow Childrens Medicare Ltd,RAINBOW,3.31,21.0,245265.0
44,532178,126.75,Engineers India Limited,ENGINERSIN,3.13,45.0,9577215.0
3,500472,5289.75,Skf India Limited,SKFINDIA,2.8,4.0,79245.0
16,533150,1666.1,Godrej Properties Limited,GODREJPROP,2.76,17.0,1761853.0
31,532296,702.1,Glenmark Pharmaceuticals Limited,GLENMARK,2.76,32.0,1533088.0
12,500495,2376.75,Escorts Limited,ESCORTS,2.57,13.0,381901.0
18,533398,1307.75,Muthoot Finance Limited,MUTHOOTFIN,2.34,19.0,428466.0
11,541729,2379.8,HDFC Asset Management Company Ltd,HDFCAMC,2.16,12.0,357658.0
5,532777,4720.8,Info Edge (india) Limited,NAUKRI,2.06,6.0,396697.0
35,532636,547.3,Iifl Holdings Limited,IIFL,2.0,36.0,501563.0
36,542772,510.6,360 ONE WAM Ltd,360ONE,1.74,37.0,179285.0
2,500490,7534.75,Bajaj Holdings & Investment Limited,BAJAJHLDNG,1.71,3.0,56494.0
1,533023,12553.0,ZF Commercial Vehicle Control System India Ltd,ZFCVINDIA,1.65,2.0,3387.0
15,503100,1705.4,The Phoenix Mills Limited,PHOENIXLTD,1.64,16.0,320999.0
14,500830,1836.65,Colgate Palmolive (india) Limited,COLPAL,1.62,15.0,368774.0
45,513683,117.9,Nlc India Limited,NLCINDIA,1.59,46.0,2359283.0
8,542652,3874.35,Polycab India Ltd,POLYCAB,1.55,9.0,389985.0
21,543426,1076.4,Metro Brands Ltd,METROBRAND,1.39,22.0,368019.0
28,511196,802.4,Can Fin Homes Limited,CANFINHOME,1.29,29.0,618625.0
32,532286,641.6,Jindal Steel & Power Limited,JINDALSTEL,1.27,33.0,3141648.0
38,500093,408.75,CG Power and Industrial Solutions Ltd,CGPOWER,1.19,39.0,1226202.0
40,500086,254.25,Exide Industries Limited,EXIDEIND,1.01,41.0,3804390.0
42,500312,169.25,Oil & Natural Gas Corporation Limited,ONGC,0.86,43.0,9448062.0
34,532321,595.35,Zydus Lifesciences Ltd,ZYDUSLIFE,0.66,35.0,954798.0
10,517569,2446.45,Kei Industries Limited,KEI,0.53,11.0,93974.0
22,532174,960.05,Icici Bank Limited,ICICIBANK,0.46,23.0,12871569.0
47,543320,82.55,Zomato Ltd,ZOMATO,0.43,48.0,91571303.0
33,532714,603.2,Kec International Limited,KEC,0.26,34.0,284000.0
9,509930,3348.8,Supreme Industries Limited,SUPREMEIND,-0.8,10.0,275977.0
0,523395,28597.45,3m India Limited,3MINDIA,-0.85,1.0,2935.0
30,519600,729.9,Ccl Products (india) Limited,CCL,-1.31,31.0,142731.0
24,505533,886.0,Westlife Development Ltd,WESTLIFE,-1.4,25.0,124697.0
