,"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 22-Jun-2022","30 D % CHNG 
 23-May-2023"
0,NIFTY 200,"9,898.15","9,932.55","9,887.75","9,866.90","9,927.80",60.90,0.62,"955,164,239","380,384,978,155.92","9,993.65","8,166.80",19.19,2.44
1,MFSL,752.85,799.00,748.75,745.80,797.95,52.15,6.99,"1,190,273","911,701,507.08",885.00,599.10,-5.46,13.01
2,ABCAPITAL,185.20,193.30,179.80,181.25,193.10,11.85,6.54,"29,042,894","5,469,648,227.02",193.30,88.00,108.34,16.37
3,HDFCLIFE,641.00,674.00,637.10,630.25,664.90,34.65,5.50,"30,050,877","19,868,437,837.32",674.00,457.80,19.57,15.59
4,PFC,201.20,208.95,200.90,199.85,207.80,7.95,3.98,"15,237,777","3,126,334,707.09",211.90,100.85,99.19,21.94
5,L&TFH,119.35,124.15,116.05,118.65,123.25,4.60,3.88,"28,941,272","3,511,444,531.76",126.90,66.30,76.23,20.1
6,PEL,893.95,924.00,880.00,883.95,918.05,34.10,3.86,"4,280,556","3,831,953,731.20","2,084.10",630.45,-45.50,17.68
7,ICICIGI,"1,281.50","1,333.00","1,274.05","1,281.50","1,321.00",39.50,3.08,"1,634,789","2,148,946,488.39","1,369.00","1,049.05",17.21,20.76
8,LTIM,"5,015.00","5,194.40","4,979.45","5,007.30","5,160.00",152.70,3.05,"771,183","3,934,406,005.74","5,194.40","4,121.00",-,3.24
9,ICICIPRULI,561.05,582.00,558.00,564.05,581.00,16.95,3.01,"2,461,049","1,408,581,395.15",608.75,380.70,17.27,30.08
10,POLICYBZR,702.00,731.90,697.00,698.50,718.65,20.15,2.88,"5,150,226","3,702,600,475.92",731.90,356.20,18.84,18.46
11,RECLTD,157.00,161.60,156.60,156.25,160.65,4.40,2.82,"13,863,522","2,206,518,161.52",168.85,88.91,34.90,20.64
12,M&MFIN,309.80,317.85,308.90,308.75,317.20,8.45,2.74,"2,731,047","860,607,530.64",328.10,171.05,78.39,13.32
13,INDIGO,"2,477.00","2,544.45","2,469.00","2,464.85","2,530.00",65.15,2.64,"1,985,055","5,024,710,169.85","2,544.45","1,571.75",55.66,8.88
