,"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 22-Jun-2022","30 D % CHNG 
 23-May-2023"
0,NIFTY500 MULTICAP 50:25:25,"10,723.10","10,753.30","10,716.05","10,685.85","10,747.35",61.50,0.58,"1,483,209,418","488,389,491,584.37","10,839.90","5,531.55",23.53,4.24
1,FACT,420.45,471.85,419.15,418.50,468.60,50.10,11.97,"13,066,819","5,901,236,796.78",471.85,93.40,369.87,54.99
2,GREENPANEL,319.50,346.50,317.00,312.65,339.00,26.35,8.43,"4,468,209","1,513,471,752.48",523.00,255.00,-20.95,4.72
3,MFSL,752.85,799.00,748.75,745.80,797.95,52.15,6.99,"1,190,273","911,701,507.08",885.00,599.10,-5.46,13.01
4,ABCAPITAL,185.20,193.30,179.80,181.25,193.10,11.85,6.54,"29,042,894","5,469,648,227.02",193.30,88.00,108.34,16.37
5,CANFINHOME,743.00,786.60,743.00,742.40,786.00,43.60,5.87,"1,937,866","1,497,059,620.98",786.60,421.00,76.35,15.26
6,HDFCLIFE,641.00,674.00,637.10,630.25,664.90,34.65,5.50,"30,050,877","19,868,437,837.32",674.00,457.80,19.57,15.59
7,METROPOLIS,"1,446.90","1,511.95","1,441.00","1,433.35","1,509.95",76.60,5.34,"1,672,628","2,503,121,254.56","1,791.20","1,171.35",4.45,17.15
8,RBLBANK,166.50,175.00,166.00,165.95,174.05,8.10,4.88,"10,892,253","1,865,625,093.84",189.30,80.35,90.90,17.43
9,SHYAMMETL,353.40,368.70,352.00,349.45,366.25,16.80,4.81,"1,056,179","384,681,515.38",368.70,254.55,26.95,20.83
10,DELTACORP,242.00,252.00,242.00,240.45,250.90,10.45,4.35,"5,969,583","1,486,903,733.64",254.75,165.10,41.32,5.87
11,KALYANKJIL,130.85,136.95,130.00,130.20,135.85,5.65,4.34,"6,259,305","835,804,996.65",137.60,58.00,132.08,28.40
12,CHOLAHLDNG,880.00,928.95,880.00,882.35,920.00,37.65,4.27,"105,620","96,401,486.40",949.60,511.30,47.19,9.21
13,STARHEALTH,547.00,562.75,540.30,537.10,559.95,22.85,4.25,"3,546,487","1,960,462,548.73",780.00,469.05,8.65,4.63
14,GPPL,117.60,127.85,116.60,116.90,121.75,4.85,4.15,"16,286,776","2,026,400,669.92",127.85,72.05,64.53,12.73
15,GODREJIND,482.20,505.45,481.30,479.80,499.00,19.20,4.00,"1,524,086","761,098,066.68",515.65,395.00,16.93,3.37
16,PFC,201.20,208.95,200.90,199.85,207.80,7.95,3.98,"15,237,777","3,126,334,707.09",211.90,100.85,99.19,21.94
17,DATAPATTNS,"1,814.65","1,891.95","1,810.10","1,806.65","1,878.00",71.35,3.95,"166,518","309,092,376.78","1,955.00",630.15,184.62,17.09
18,SHARDACROP,540.00,566.80,536.65,532.05,553.00,20.95,3.94,"884,008","491,658,729.36",707.00,368.55,-8.71,17.00
19,L&TFH,119.35,124.15,116.05,118.65,123.25,4.60,3.88,"28,941,272","3,511,444,531.76",126.90,66.30,76.23,20.10
