,Stock Name,3M Price Chart,Market Cap (Cr),LTPLast Traded Price,Day High Low (%),Week High Low (%),Month High Low (%),Qtr High Low(%),1 Year High low(%),3 Year High low(%),5 Year High low(%),10 Year High low(%)
0,Petronet LNG Ltd.,,34432.5,229.6,L  2.3%  H  224.6  230.9,L  -0.1%  H  223.9  233.2,L  -0.2%  H  216.7  233.2,L  0.9%  H  216.7  242.4,L  1.9%  H  195.7  242.4,L  -13.7%  H  190.3  275.4,L  8.3%  H  170.4  299,L  257.1%  H  51.3  299
1,Power Finance Corporation ...,,59296.2,224.6,L  0.0%  H  222.9  226.4,L  1.5%  H  217.6  230.4,L  11.7%  H  194.3  230.4,L  39.0%  H  155.8  230.4,L  108.1%  H  100.9  230.4,L  178.8%  H  78.9  230.4,L  218.1%  H  67.5  230.4,L  199.9%  H  48.7  230.4
2,Pfizer Ltd.,,17329.2,3788.0,L  0.1%  H  3778  3810,L  -0.3%  H  3775  3840.0,L  -1.6%  H  3724.1  3899,L  1.0%  H  3656  4023,L  -8.1%  H  3408  4660,L  -9.4%  H  3408  6175,L  47.7%  H  2501  6175,L  252.4%  H  982  6175
3,Aditya Birla Fashion and R...,,20391.0,214.9,L  -0.8%  H  214.3  218,L  0.6%  H  209.6  221.4,L  1.1%  H  200  221.4,L  -5.2%  H  184.4  226.9,L  -15.8%  H  184.4  359.5,L  81.4%  H  111.8  359.5,L  57.2%  H  97  359.5,L  ;  H  75  359.5
4,Procter & Gamble Hygiene &...,,50039.1,15415.3,L  2.1%  H  14956.3  15495.0,L  3.3%  H  14440  15495.0,L  10.3%  H  13764.1  15495.0,L  9.0%  H  13362  15495.0,L  11.3%  H  13140.1  15500,L  51.9%  H  9691.4  16448.7,L  51.8%  H  8400  16448.7,L  429.1%  H  2355  16448.7
5,3M India Ltd.,,32215.3,28597.5,L  -0.9%  H  27450  29190,L  5.9%  H  26754.1  29190,L  1.6%  H  26512  29190,L  25.1%  H  22125.3  29190,L  26.0%  H  21300.5  29190,L  42.3%  H  17273  31000,L  43.4%  H  15700  31000,L  718.0%  H  2880  31000
6,Bandhan Bank Ltd.,,35696.6,221.6,L  2.7%  H  214.2  223,L  -3.8%  H  214.2  232.2,L  -12.3%  H  214.2  255.3,L  8.1%  H  203.1  272,L  -19.5%  H  182.2  314.8,L  -37.1%  H  182.2  430.7,L  -61.1%  H  152.2  741.8,L  ;  H  152.2  741.8
7,KPIT Technologies Ltd.,,29145.6,1063.2,L  1.5%  H  1032.4  1072.7,L  -1.5%  H  1015.3  1084.9,L  2.3%  H  1015.3  1106.6,L  22.3%  H  823  1160,L  120.0%  H  480.8  1160,L  1512.1%  H  63.1  1160,L  ;  H  34.4  1160,L  ;  H  34.4  1160
8,Aarti Drugs Ltd.,,4611.5,498.0,L  2.1%  H  486.4  502.5,L  5.8%  H  460.5  509.8,L  9.6%  H  440.6  509.8,L  19.7%  H  405.1  509.8,L  14.7%  H  313.9  512.4,L  47.5%  H  313.9  1027.0,L  282.6%  H  105.3  1027.0,L  1661.6%  H  18.8  1027.0
9,Macrotech Developers Ltd.,,68402.3,709.6,L  1.7%  H  695.6  719.9,L  1.3%  H  658.3  726.0,L  9.2%  H  621  740,L  55.1%  H  440.1  740,L  27.4%  H  355.5  740,L  ;  H  211.3  769.5,L  ;  H  211.3  769.5,L  ;  H  211.3  769.5
10,PCBL Ltd.,,5958.2,157.9,L  2.2%  H  154.2  158.7,L  -1.3%  H  153.7  178.3,L  -0.4%  H  152.9  178.3,L  36.3%  H  116.1  178.3,L  42.1%  H  108.6  178.3,L  199.6%  H  47.3  178.3,L  42.7%  H  27.1  178.3,L  2935.6%  H  3.1  178.3
11,Phoenix Mills Ltd.,,30464.4,1705.4,L  1.6%  H  1681.5  1722.5,L  5.6%  H  1555.1  1722.5,L  8.9%  H  1516  1722.5,L  31.2%  H  1291.1  1722.5,L  39.9%  H  1186.4  1722.5,L  196.9%  H  541.7  1722.5,L  163.7%  H  465.1  1722.5,L  565.0%  H  182.6  1722.5
12,ABB India Ltd.,,92896.4,4383.8,L  -0.5%  H  4355.4  4463.3,L  -0.4%  H  4350  4558,L  0.8%  H  4216.3  4558,L  35.7%  H  3141.2  4558,L  72.0%  H  2521  4558,L  382.7%  H  846.6  4558,L  259.7%  H  722  4558,L  615.3%  H  430  4558
13,Abbott India Ltd.,,49497.9,23293.9,L  -0.4%  H  23163.1  23450.1,L  -0.9%  H  23163.1  23850,L  5.7%  H  22071.4  23870.0,L  3.6%  H  20605.1  23870.0,L  19.6%  H  17325  23870.0,L  52.8%  H  13959.8  23934.5,L  228.1%  H  6900  23934.5,L  1522.0%  H  1303.1  23934.5
14,Pidilite Industries Ltd.,,133393.2,2623.5,L  0.2%  H  2595  2628.3,L  0.4%  H  2551.5  2688,L  -2.6%  H  2551.5  2724.9,L  11.6%  H  2349.0  2735,L  14.6%  H  2250.1  2919.0,L  90.0%  H  1307.0  2919.0,L  146.5%  H  895  2919.0,L  827.7%  H  219.4  2919.0
15,PI Industries Ltd.,,55094.2,3631.4,L  0.6%  H  3585  3668.7,L  -3.6%  H  3575  3795.3,L  -5.0%  H  3575  4011.2,L  19.8%  H  2997.2  4011.2,L  26.5%  H  2868.9  4011.2,L  110.1%  H  1662.0  4011.2,L  359.8%  H  675.6  4011.2,L  2470.9%  H  121  4011.2
16,ACC Ltd.,,33379.2,1777.5,L  0.4%  H  1770.3  1782.3,L  -0.8%  H  1764.2  1807,L  -4.2%  H  1754  1869.5,L  0.6%  H  1700  1870,L  -17.7%  H  1592.4  2785,L  37.4%  H  1253  2785,L  32.9%  H  895.2  2785,L  43.2%  H  895.2  2785
17,Punjab National Bank,,66836.9,60.7,L  2.7%  H  59.1  61,L  0.5%  H  58.2  62.4,L  17.2%  H  49.7  62.4,L  27.1%  H  47.4  62.4,L  99.7%  H  30.1  62.4,L  80.9%  H  26.3  62.4,L  -17.8%  H  26.3  99.9,L  -52.1%  H  26.3  231.5
18,Star Health and Allied Ins...,,36890.0,634.2,L  -0.5%  H  626.9  637.0,L  5.2%  H  602.1  641.7,L  20.7%  H  519  641.7,L  5.5%  H  507.5  641.7,L  6.3%  H  481.6  780,L  ;  H  469.1  940,L  ;  H  469.1  940,L  ;  H  469.1  940
19,Adani Enterprises Ltd.,,270875.7,2376.1,L  0.6%  H  2340  2385,L  -0.2%  H  2340  2462.7,L  -3.3%  H  2163.3  2527,L  27.0%  H  1775.8  2759.5,L  -0.3%  H  1017.5  4190,L  1486.7%  H  145.2  4190,L  1704.9%  H  113  4190,L  1083.3%  H  58.2  4190
20,Adani Ports & Special Econ...,,156847.7,726.1,L  1.2%  H  714.7  727.5,L  1.0%  H  708  732.5,L  -1.8%  H  703  759.9,L  9.7%  H  651.1  785.7,L  0.2%  H  395.1  987.9,L  126.6%  H  298  987.9,L  96.0%  H  203  987.9,L  378.2%  H  116.7  987.9
