,Stock Name,3M Price Chart,Market Cap (Cr),LTPLast Traded Price,Day High Low (%),Week High Low (%),Month High Low (%),Qtr High Low(%),1 Year High low(%),3 Year High low(%),5 Year High low(%),10 Year High low(%)
0,CESC Ltd.,,10001.4,75.5,L  0.5%  H  75.3  76.1,L  0.5%  H  74.3  76.1,L  5.2%  H  70.8  76.7,L  10.6%  H  67.4  76.7,L  1%  H  62.1  86.7,L  19.6%  H  53.9  102.5,L  -16.7%  H  36.5  103.9,L  112.2%  H  27.2  119
1,Chambal Fertilisers & Chem...,,11083.6,266.3,L  0.4%  H  263.6  268.0,L  -2.9%  H  263.6  275.7,L  -4.5%  H  263.6  280.9,L  -8.0%  H  263.6  312.8,L  -11.0%  H  248.4  366.8,L  75.9%  H  133.3  516,L  82.8%  H  93.8  516,L  610.1%  H  30.9  516
2,Medplus Health Services Ltd.,,10383.2,870.3,L  4.6%  H  828.8  889.9,L  6.1%  H  805.0  889.9,L  12.8%  H  760.1  889.9,L  21.6%  H  673.5  889.9,L  15.9%  H  548.3  889.9,L  ;  H  548.3  1343,L  ;  H  548.3  1343,L  ;  H  548.3  1343
3,KPIT Technologies Ltd.,,29145.6,1063.2,L  1.5%  H  1032.4  1072.7,L  -1.5%  H  1015.3  1084.9,L  2.3%  H  1015.3  1106.6,L  22.3%  H  823  1160,L  120.0%  H  480.8  1160,L  1512.1%  H  63.1  1160,L  ;  H  34.4  1160,L  ;  H  34.4  1160
4,BSE Ltd.,,10260.6,757.5,L  2.9%  H  740.3  765.0,L  7.1%  H  692.2  788.0,L  32.8%  H  565  788.0,L  64.9%  H  447.2  788.0,L  15.0%  H  406.2  788.0,L  362.1%  H  155.3  1046.7,L  172.8%  H  91.7  1046.7,L  ;  H  91.7  1046.7
5,Balaji Amines Ltd.,,7177.8,2215.3,L  2.7%  H  2150  2240,L  -3.7%  H  2150  2304.9,L  -1.2%  H  2150  2458.9,L  -11.2%  H  1880  2468.5,L  -27.4%  H  1880  3844,L  250.9%  H  555.2  5223.6,L  315.1%  H  200  5223.6,L  6822.8%  H  28.1  5223.6
6,J B Chemicals & Pharmaceut...,,19888.8,2569.1,L  1.9%  H  2490.0  2585,L  11.9%  H  2286.3  2774.0,L  18%  H  2143.6  2774.0,L  18.6%  H  1750  2774.0,L  58.1%  H  1611.3  2774.0,L  259.8%  H  710.1  2774.0,L  909.8%  H  248  2774.0,L  3101.3%  H  73  2774.0
7,HFCL Ltd.,,8831.4,64.1,L  0.2%  H  63.5  64.5,L  -3.9%  H  63.5  66.9,L  -8.2%  H  63.5  70.5,L  0.4%  H  60.4  72.3,L  0.6%  H  55.8  88.8,L  398.8%  H  11.3  101.4,L  121.0%  H  8.1  101.4,L  737.9%  H  7  101.4
8,Campus Activewear Ltd.,,9658.9,316.7,L  0.9%  H  315.1  319.3,L  -0.9%  H  313.1  338.9,L  -1.6%  H  307.5  338.9,L  -6.5%  H  300.5  379.9,L  -14.4%  H  300.5  639.3,L  ;  H  297.1  639.3,L  ;  H  297.1  639.3,L  ;  H  297.1  639.3
9,Hindustan Copper Ltd.,,11614.0,120.1,L  2.4%  H  117.9  121.3,L  0.5%  H  115.9  121.9,L  4.1%  H  112.3  123.1,L  19.4%  H  97.6  123.1,L  34.5%  H  86.6  132.4,L  225.5%  H  31.3  196.8,L  102.2%  H  18.3  196.8,L  80.5%  H  18.3  196.8
10,UTI Asset Management Compa...,,10563.8,831.9,L  2.2%  H  818.2  833,L  4.5%  H  786  833,L  20.6%  H  677.7  833,L  18.8%  H  638.8  833,L  27.6%  H  608  908,L  ;  H  471.1  1216.2,L  ;  H  471.1  1216.2,L  ;  H  471.1  1216.2
11,Laxmi Organic Industries Ltd.,,6692.5,252.0,L  2.2%  H  246.7  253.6,L  -3.3%  H  246  261.8,L  -5.0%  H  246  273.5,L  -5.5%  H  243  301.5,L  -9.7%  H  220.5  395.8,L  ;  H  143.3  628,L  ;  H  143.3  628,L  ;  H  143.3  628
12,Bank of Maharashtra,,22058.5,31.2,L  2.3%  H  29.9  31.3,L  -2.7%  H  29.9  32.8,L  9.3%  H  26.8  32.8,L  13.1%  H  26.8  32.8,L  95.9%  H  15.9  36.3,L  184.5%  H  10.3  36.3,L  158.5%  H  8  36.3,L  -37.5%  H  8  55.1
13,Anupam Rasayan India Ltd.,,10955.0,1018.7,L  -2%  H  1015  1044.9,L  2.6%  H  978  1070,L  -5.1%  H  966  1102.3,L  3%  H  966  1234,L  37.4%  H  570  1234,L  ;  H  474  1234,L  ;  H  474  1234,L  ;  H  474  1234
14,Cyient Ltd.,,15930.5,1440.7,L  0.9%  H  1415.1  1446.3,L  -2.8%  H  1392.1  1496.1,L  -3.8%  H  1392.1  1555,L  34.7%  H  1057.8  1555,L  87.2%  H  723.8  1555,L  437.0%  H  268  1555,L  106.9%  H  184  1555,L  683.4%  H  166.5  1555
15,Computer Age Management Se...,,11136.2,2272.1,L  1.4%  H  2236.2  2279,L  -0.6%  H  2220.2  2310,L  4.0%  H  2132  2345,L  6.3%  H  2026.2  2345,L  -2.0%  H  2010  2690,L  ;  H  1260  4067.4,L  ;  H  1260  4067.4,L  ;  H  1260  4067.4
16,Manappuram Finance Ltd.,,10829.6,128.0,L  3.5%  H  122.6  128.9,L  -1.2%  H  122.6  134.1,L  5.7%  H  118.4  134.1,L  0.6%  H  102  134.1,L  45.2%  H  87.4  134.1,L  -18.5%  H  81.5  224.5,L  25.3%  H  66.3  224.5,L  1154.4%  H  9.8  224.5
17,PVR INOX Ltd.,,13880.3,1416.8,L  1.0%  H  1385.5  1426.8,L  -1.6%  H  1385.5  1473.7,L  -2.8%  H  1360.5  1516.8,L  -7.4%  H  1336.4  1562,L  -25.6%  H  1336.4  2214.9,L  38.0%  H  988.4  2214.9,L  17.0%  H  718.3  2214.9,L  325.4%  H  321.1  2214.9
18,Angel One Ltd.,,14318.9,1708.3,L  -2.1%  H  1701.5  1804,L  -0.2%  H  1636.2  1804.9,L  10.7%  H  1508.1  1804.9,L  35.2%  H  1181.2  1804.9,L  30.2%  H  999  1804.9,L  ;  H  222.2  2022,L  ;  H  222.2  2022,L  ;  H  222.2  2022
19,Radico Khaitan Ltd.,,18463.0,1381.2,L  2.0%  H  1359.5  1391.9,L  1.9%  H  1310  1419.0,L  16.5%  H  1178.1  1448.9,L  25.2%  H  1083  1448.9,L  53.7%  H  901.3  1448.9,L  264.3%  H  360.5  1448.9,L  289.3%  H  220  1448.9,L  1307.2%  H  76.0  1448.9
20,Amara Raja Batteries Ltd.,,11694.7,684.7,L  -0.4%  H  682  691.2,L  -2.2%  H  677  706,L  9.0%  H  618.2  709,L  20.0%  H  568.8  709,L  47%  H  461.5  709,L  -1.6%  H  438.1  1025.6,L  -15.0%  H  348.6  1025.6,L  164.7%  H  205.2  1128
21,Birla Corporation Ltd.,,9353.1,1214.6,L  -0.6%  H  1206.8  1232,L  -0.3%  H  1191.7  1238.6,L  0.6%  H  1181  1268,L  30.3%  H  893.4  1268,L  33.7%  H  843.2  1268,L  109.5%  H  540.6  1650,L  72.2%  H  372.2  1650,L  396.5%  H  190.1  1650
22,IDFC Ltd.,,18215.8,113.9,L  1.1%  H  112.8  114.4,L  2.3%  H  109.6  116.5,L  10%  H  96.5  116.9,L  46.8%  H  76.8  116.9,L  116.9%  H  51.9  116.9,L  507.2%  H  18  116.9,L  152.7%  H  13.3  116.9,L  -15.6%  H  13.3  188
23,Metropolis Healthcare Ltd.,,7357.3,1436.4,L  0.7%  H  1418.8  1441.9,L  -1.2%  H  1418.6  1475,L  9.4%  H  1315.7  1520.0,L  11.3%  H  1209.3  1520.0,L  -0.4%  H  1171.4  1791.2,L  -7.7%  H  1171.4  3579.9,L  ;  H  907  3579.9,L  ;  H  907  3579.9
24,Bharat Dynamics Ltd.,,21649.2,1181.2,L  -2.7%  H  1175.1  1224.9,L  7.1%  H  1077.5  1278,L  6.9%  H  1063.0  1278,L  19.5%  H  965.6  1278,L  70.3%  H  678.9  1278,L  204.0%  H  280.4  1278,L  220.3%  H  145.3  1278,L  ;  H  145.3  1278
25,Gujarat Narmada Valley Fer...,,9228.8,593.8,L  1.3%  H  582.0  595.2,L  -0.7%  H  582.0  609,L  0.0%  H  570.7  615.5,L  8.8%  H  522  666.6,L  -3.0%  H  484.5  798.5,L  261.9%  H  156.2  912,L  42.7%  H  95.6  912,L  689.6%  H  53.4  912
26,Redington Ltd.,,14246.2,182.3,L  -2.2%  H  181.1  187.8,L  -3.5%  H  181.1  190.2,L  -4.1%  H  181.1  196,L  4.2%  H  164.3  196,L  48.2%  H  118.1  202.3,L  292.8%  H  42.8  202.3,L  220.0%  H  29.6  202.3,L  454.3%  H  23.7  202.3
27,Central Depository Service...,,12625.2,1208.2,L  1.3%  H  1186.4  1218,L  2.5%  H  1181.5  1242,L  19.2%  H  1019.0  1242,L  20.9%  H  973.5  1242,L  10.1%  H  880.9  1451.9,L  306.2%  H  286.5  1734.4,L  351.9%  H  179.8  1734.4,L  ;  H  179.8  1734.4
28,Latent View Analytics Ltd.,,7582.4,370.1,L  3.2%  H  360.4  376.4,L  0.2%  H  356.2  379.7,L  11.2%  H  332.4  390,L  0.7%  H  321.9  390,L  10.2%  H  310.5  421.5,L  ;  H  305.3  754.9,L  ;  H  305.3  754.9,L  ;  H  305.3  754.9
29,Graphite India Ltd.,,8123.7,415.8,L  1.9%  H  410  423.9,L  2.6%  H  400.6  423.9,L  6.6%  H  388.4  431.7,L  49.4%  H  267.2  431.7,L  2.8%  H  251.7  460,L  142.7%  H  161.8  815.9,L  -56.2%  H  103  1127,L  451.5%  H  57  1127
30,Shree Renuka Sugars Ltd.,,9173.8,43.1,L  0.4%  H  42.8  43.7,L  -1.4%  H  42.8  44.2,L  -0.6%  H  42.8  46,L  -6.8%  H  41.3  49.3,L  -7.9%  H  39.4  68.8,L  373.6%  H  8.1  68.8,L  250.4%  H  3.3  68.8,L  136.8%  H  3.3  68.8
31,Welspun India Ltd.,,10191.8,103.2,L  7.8%  H  96  104.4,L  8.4%  H  95  104.4,L  10.5%  H  90.9  104.4,L  27.1%  H  79.2  105,L  48.0%  H  62  105,L  230.6%  H  31.2  170.7,L  96.9%  H  18.5  170.7,L  1697.0%  H  4.8  170.7
32,Mangalore Refinery And Pet...,,15247.6,87.0,L  1.7%  H  85.2  87.7,L  -0.8%  H  83.4  88.7,L  33.4%  H  65.1  93.4,L  63.2%  H  52.9  93.4,L  21.3%  H  49.3  93.4,L  149.6%  H  25.3  127.7,L  11.4%  H  20.8  127.7,L  136.1%  H  20.8  146.7
33,Jubilant Ingrevia Ltd.,,6515.4,409.1,L  -0.1%  H  407.5  415.8,L  0.0%  H  401.3  419.2,L  -7.5%  H  401.3  476.8,L  2.6%  H  379.1  476.8,L  -13.7%  H  350.5  592.6,L  ;  H  241.3  838.8,L  ;  H  241.3  838.8,L  ;  H  241.3  838.8
34,Route Mobile Ltd.,,10149.2,1625.4,L  -0.7%  H  1620.5  1673.9,L  2.8%  H  1546.1  1698,L  6.2%  H  1540.1  1698,L  28.0%  H  1237  1698,L  24.6%  H  1136.2  1698,L  ;  H  625  2389,L  ;  H  625  2389,L  ;  H  625  2389
