,Unnamed: 0,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ncompany
0,0,20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5.0,1.0,INE144J01027,5.0,20 microns
1,1,21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10.0,1.0,INE253B01015,10.0,21st century
2,2,3IINFOTECH,3i Infotech Limited,EQ,22-APR-2005,10.0,1.0,INE748C01020,10.0,3i infotech
3,3,3MINDIA,3M India Limited,EQ,13-AUG-2004,10.0,1.0,INE470A01017,10.0,3m india
4,4,3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2.0,1.0,INE105C01023,2.0,3p land
5,5,5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10.0,1.0,INE618L01018,10.0,5paisa capital
6,6,63MOONS,63 moons technologies limited,BE,20-JUN-2005,2.0,1.0,INE111B01023,2.0,63 moons
7,7,A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10.0,1.0,INE619I01012,10.0,a2z infra
8,8,AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,10.0,1.0,INE087Z01016,10.0,aakash exploration
9,9,AARON,Aaron Industries Limited,EQ,06-NOV-2020,10.0,1.0,INE721Z01010,10.0,aaron industries
10,10,AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10.0,1.0,INE767A01016,10.0,aarti drugs
11,11,AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5.0,1.0,INE769A01020,5.0,aarti industries
12,12,AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10.0,1.0,INE09EO01013,10.0,aarti surfactants
13,13,AARVEEDEN,Aarvee Denims & Exports Limited,BE,21-NOV-2006,10.0,1.0,INE273D01019,10.0,aarvee denims
14,14,AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10.0,1.0,INE754X01016,10.0,aarvi encon
15,15,AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10.0,1.0,INE216P01012,10.0,aavas financiers
16,16,ABAN,Aban Offshore Limited,BE,29-MAR-1995,2.0,1.0,INE421A01028,2.0,aban offshore
17,17,ABB,ABB India Limited,EQ,08-FEB-1995,2.0,1.0,INE117A01022,2.0,abb india
18,18,ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10.0,1.0,INE358A01014,10.0,abbott india
19,19,ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10.0,1.0,INE674K01013,10.0,aditya birla
20,20,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10.0,1.0,INE647O01011,10.0,aditya birla
21,21,ABMINTLTD,ABM International Limited,BE,14-JUN-2016,10.0,1.0,INE251C01017,10.0,abm international
22,22,ACC,ACC Limited,EQ,20-NOV-1996,10.0,1.0,INE012A01025,10.0,acc
23,23,ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10.0,1.0,INE793A01012,10.0,accelya solutions
24,24,ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,10.0,1.0,INE648Z01015,10.0,accuracy shipping
25,25,ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2.0,1.0,INE731H01025,2.0,action construction
26,26,ACRYSIL,Acrysil Limited,EQ,14-JAN-2021,2.0,1.0,INE482D01024,2.0,acrysil
27,27,ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1.0,1.0,INE423A01024,1.0,adani enterprises
28,28,ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10.0,1.0,INE364U01010,10.0,adani green
29,29,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2.0,1.0,INE742F01042,2.0,adani ports
30,30,ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10.0,1.0,INE814H01011,10.0,adani power
31,31,ADANITRANS,Adani Transmission Limited,EQ,31-JUL-2015,10.0,1.0,INE931S01010,10.0,adani transmission
32,32,ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,10.0,1.0,INE982B01019,10.0,adf foods
33,33,ADHUNIKIND,Adhunik Industries Limited,BE,01-JUL-2016,10.0,1.0,INE452L01012,10.0,adhunik industries
34,34,ADL,Archidply Decor Limited,BE,01-OCT-2020,10.0,1.0,INE0CHO01012,10.0,archidply decor
35,35,ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10.0,1.0,INE045A01017,10.0,ador welding
36,36,ADROITINFO,Adroit Infotech Limited,BE,13-AUG-1997,10.0,1.0,INE737B01033,10.0,adroit infotech
37,37,ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5.0,1.0,INE102I01027,5.0,allied digital
38,38,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,BE,25-JUN-2007,2.0,1.0,INE199C01026,2.0,advani hotels
39,39,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2.0,1.0,INE837H01020,2.0,advanced enzyme
40,40,AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1.0,1.0,INE208C01025,1.0,aegis logistics
41,41,AFFLE,Affle (India) Limited,EQ,08-AUG-2019,10.0,1.0,INE00WC01019,10.0,affle (india)
42,42,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10.0,1.0,INE204E01012,10.0,agarwal industrial
43,43,AGCNET,AGC Networks Limited,BE,22-JUL-2003,10.0,1.0,INE676A01019,10.0,agc networks
44,44,AGRITECH,Agri-Tech (India) Limited,BE,28-JAN-2014,10.0,1.0,INE449G01018,10.0,agri-tech (india)
45,45,AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10.0,1.0,INE740V01019,10.0,agro phos
46,46,AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10.0,1.0,INE926K01017,10.0,asian hotels
47,47,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2.0,1.0,INE758C01029,2.0,ahluwalia contracts
48,48,AHLWEST,Asian Hotels (West) Limited,EQ,05-AUG-2010,10.0,1.0,INE915K01010,10.0,asian hotels
49,49,AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2.0,1.0,INE212H01026,2.0,aia engineering
50,50,AIRAN,Airan Limited,EQ,03-MAY-2019,2.0,1.0,INE645W01026,2.0,airan
51,51,AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2.0,1.0,INE031B01049,2.0,ajanta pharma
52,52,AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10.0,1.0,INE298G01027,10.0,ajmera realty
53,53,AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10.0,1.0,INE737W01013,10.0,akash infra-projects
54,54,AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10.0,1.0,INE542B01011,10.0,aksharchem india
55,55,AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5.0,1.0,INE523B01011,5.0,aksh optifibre
56,56,AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10.0,1.0,INE133A01011,10.0,akzo nobel
57,57,ALANKIT,Alankit Limited,EQ,30-JUN-2015,1.0,1.0,INE914E01040,1.0,alankit
58,58,ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10.0,1.0,INE155C01010,10.0,albert david
59,59,ALCHEM,Alchemist Limited,BZ,31-JUL-2007,10.0,1.0,INE964B01033,10.0,alchemist
60,60,ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2.0,1.0,INE426A01027,2.0,alembic limited
61,61,ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5.0,1.0,INE062D01024,5.0,alicon castalloy
62,62,ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10.0,1.0,INE773I01017,10.0,alkali metals
63,63,ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2.0,1.0,INE540L01014,2.0,alkem laboratories
64,64,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,5.0,1.0,INE150B01021,5.0,alkyl amines
65,65,ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2.0,1.0,INE418H01029,2.0,allcargo logistics
66,66,ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10.0,1.0,INE835G01018,10.0,allsec technologies
67,67,ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,6.0,1.0,INE326B01027,6.0,almondz global
68,68,ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1.0,1.0,INE270A01029,1.0,alok industries
69,69,ALPA,Alpa Laboratories Limited,BE,06-AUG-2007,10.0,1.0,INE385I01010,10.0,alpa laboratories
